dataset	tool	format	wall_sec	user_sec	sys_sec	rss_kb	parse_sec	algo_sec	n_ub	run_status
Ecoli-v1.1-p0g30r5	bf_gfa	gfa	0.11	0.02	0.05	64928	0.0	0.0	7237	
Ecoli-v1.1-p0g30r5	bf_gfa_noT	gfa	0.11	0.03	0.02	66968	0.1	0.0	400	
Ecoli-v1.1-p0g30r5	bf_sb_gfa	gfa	0.13	0.07	0.02	65000	0.0	0.1		
Ecoli-v1.1-p0g30r5	bf_sb_gfa_noT	gfa	0.14	0.05	0.02	65092	0.1	0.0		
Ecoli-v1.1-p0g30r5	vg_gfa	gfa	0.85	0.29	0.35	40844			7237	
Ecoli-v1.1-p0g30r5	vg_gfa_noT	gfa	0.6	0.29	0.16	41664			400	
GCA.cleaned	bf_gfa	gfa	3.86	3.27	0.24	521004	1.4	2.3	103391	
GCA.cleaned	bf_gfa_noT	gfa	3.4	3.11	0.24	521020	1.1	2.3	41777	
GCA.cleaned	bf_sb_gfa	gfa	9.49	7.96	0.98	2571616	1.3	7.5		
GCA.cleaned	bf_sb_gfa_noT	gfa	10.51	9.54	0.89	2571632	1.1	8.6		
GCA.cleaned	vg_gfa	gfa	28.88	26.98	1.75	1481564			103391	
GCA.cleaned	vg_gfa_noT	gfa	31.55	29.82	1.63	1481228			41777	
Mtb152m-v1.1-p0a1	bf_gfa	gfa	0.06	0.01	0.02	66896	0.0	0.0	3804	
Mtb152m-v1.1-p0a1	bf_gfa_noT	gfa	0.15	0.02	0.04	66848	0.1	0.0	133	
Mtb152m-v1.1-p0a1	bf_sb_gfa	gfa	0.07	0.01	0.03	64904	0.0	0.0		
Mtb152m-v1.1-p0a1	bf_sb_gfa_noT	gfa	0.08	0.01	0.03	64744	0.0	0.0		
Mtb152m-v1.1-p0a1	vg_gfa	gfa	0.44	0.37	0.04	30368			3804	
Mtb152m-v1.1-p0a1	vg_gfa_noT	gfa	0.63	0.38	0.22	30372			133	
Mtb152m-v1.1-p1a2	bf_gfa	gfa	0.09	0.02	0.03	64952	0.0	0.0	3908	
Mtb152m-v1.1-p1a2	bf_gfa_noT	gfa	0.08	0.02	0.01	64800	0.0	0.0	84	
Mtb152m-v1.1-p1a2	bf_sb_gfa	gfa	0.1	0.02	0.02	64876	0.1	0.0		
Mtb152m-v1.1-p1a2	bf_sb_gfa_noT	gfa	0.06	0.01	0.02	66928	0.0	0.0		
Mtb152m-v1.1-p1a2	vg_gfa	gfa	0.61	0.33	0.19	31584			3908	
Mtb152m-v1.1-p1a2	vg_gfa_noT	gfa	0.44	0.37	0.04	31580			84	
Mtb152p-v1.1-p0a1	bf_gfa	gfa	0.1	0.03	0.02	69080	0.1	0.0	3744	
Mtb152p-v1.1-p0a1	bf_gfa_noT	gfa	0.08	0.03	0.03	68976	0.0	0.0	131	
Mtb152p-v1.1-p0a1	bf_sb_gfa	gfa	0.11	0.02	0.03	68952	0.1	0.0		
Mtb152p-v1.1-p0a1	bf_sb_gfa_noT	gfa	0.16	0.01	0.04	69024	0.1	0.0		
Mtb152p-v1.1-p0a1	vg_gfa	gfa	0.86	0.37	0.46	30300			3744	
Mtb152p-v1.1-p0a1	vg_gfa_noT	gfa	0.97	0.4	0.54	32352			131	
Ultrabubble_dataset_chr1.cleaned	bf_gfa	gfa	40.54	37.69	2.52	6079044	11.8	28.6	6095110	
Ultrabubble_dataset_chr1.cleaned	bf_gfa_noT	gfa	53.77	42.78	3.69	6079112	21.8	31.8	6095099	
Ultrabubble_dataset_chr1.cleaned	bf_sb_gfa	gfa	166.05	150.5	15.19	25471732	13.4	142.5		
Ultrabubble_dataset_chr1.cleaned	bf_sb_gfa_noT	gfa	144.95	133.92	10.72	25471668	11.8	124.4		
Ultrabubble_dataset_chr1.cleaned	vg_gfa	gfa	381.03	355.1	24.9	19650884			6095110	
Ultrabubble_dataset_chr1.cleaned	vg_gfa_noT	gfa	386.71	360.47	25.15	19644176			6095099	
Ultrabubble_dataset_chr10.cleaned	bf_gfa	gfa	36.25	32.14	3.94	3737640	10.5	25.6	3747617	
Ultrabubble_dataset_chr10.cleaned	bf_gfa_noT	gfa	28.47	22.68	1.75	3742924	11.2	17.2	3747616	
